model,harness,parser,suite,scored_pass,scored_total,protocol_failures,wall_med_s,out_tok_med,date
qwen3-coder-30b,A,qwen3_coder,lc-poly30-v1,4,30,9,8.7,1728,2026-07-17
qwen3-coder-30b,A,qwen3_xml,lc-poly30-v1,4,30,0,18.8,3570,2026-07-17
qwen3-coder-30b,B,qwen3_xml,lc-poly30-v1,3,30,1,13.0,2062,2026-07-17
gemma-4-26b,A,gemma4,lc-poly30-v1,6,30,0,40.6,6891,2026-07-17
gemma-4-26b,B,gemma4,lc-poly30-v1,6,30,0,45.0,6028,2026-07-17
deepseek-v4-flash,A,deepseek_v4,lc-poly30-v2,18,30,0,51.2,5393,2026-07-18
deepseek-v4-flash,B,deepseek_v4,lc-poly30-v2,11,30,0,30.9,3092,2026-07-18
qwen3-coder-30b,A,qwen3_xml,lc-poly30-v2,5,30,0,26.0,4900,2026-07-18
qwen3-coder-30b-fp8,A,qwen3_xml,lc-poly30-v2,5,30,0,31.0,5512,2026-07-18
qwen3-coder-30b,B,qwen3_xml,lc-poly30-v2,4,30,0,28.0,4422,2026-07-19
gemma-4-26b,A,gemma4,lc-poly30-v2,5,30,0,40.0,6831,2026-07-18
gemma-4-26b,B,gemma4,lc-poly30-v2,4,30,0,45.0,5886,2026-07-19
gemma-4-31b,A,gemma4,lc-poly30-v2,8,30,0,38.0,1829,2026-07-19
gemma-4-31b,B,gemma4,lc-poly30-v2,1,30,1,21.0,830,2026-07-19
qwen3-coder-480b,A,qwen3_xml,lc-poly30-v2,9,30,0,43.0,4215,2026-07-18
qwen3-coder-480b,B,qwen3_xml,lc-poly30-v2,7,30,0,12.0,922,2026-07-18
glm-5.2,A,glm47,lc-poly30-v2,10,30,0,127.0,8276,2026-07-19
glm-5.2,B,glm47,lc-poly30-v2,11,30,0,129.0,8310,2026-07-19
deepseek-v4-flash,A,deepseek_v4,lc-poly30-v2-repeat2,15,30,0,50.0,3804,2026-07-19
deepseek-v4-flash,A,deepseek_v4,lc-poly30-v2-repeat3,15,30,0,84.0,6604,2026-07-20
deepseek-v4-flash,A,deepseek_v4,lc-poly30-v2-final,16,30,0,54.0,4832,2026-07-21
glm-5.2,A,glm47,lc-poly30-v2-final,11,30,0,122.0,8249,2026-07-21
qwen3-coder-480b,A,qwen3_xml,lc-poly30-v2-final,9,30,0,26.0,2717,2026-07-21
gemma-4-31b,A,gemma4,lc-poly30-v2-final,8,30,0,39.0,1886,2026-07-21
gemma-4-26b,A,gemma4,lc-poly30-v2-final,7,30,0,33.0,5682,2026-07-21
qwen3-coder-30b,A,qwen3_xml,lc-poly30-v2-final,5,30,0,27.0,5157,2026-07-21
