model,precision,min_gpus,gpus,instances,prompt_tokens,concurrent_streams,per_stream_floor_tok_s,date
Qwen3-Coder-30B-A3B-Instruct,bf16,1,1,1,512,448,20,2026-07-20
Qwen3-Coder-30B-A3B-Instruct,bf16,1,1,1,8192,64,20,2026-07-20
Qwen3-Coder-30B-A3B-Instruct,bf16,1,2,2,512,896,20,2026-07-20
Qwen3-Coder-30B-A3B-Instruct,bf16,1,2,2,8192,128,20,2026-07-20
Qwen3-Coder-30B-A3B-Instruct,bf16,1,4,4,512,1792,20,2026-07-20
Qwen3-Coder-30B-A3B-Instruct,bf16,1,4,4,8192,256,20,2026-07-20
gemma-4-26B-A4B-it,bf16,1,1,1,512,320,20,2026-07-20
gemma-4-26B-A4B-it,bf16,1,1,1,8192,48,20,2026-07-20
gemma-4-26B-A4B-it,bf16,1,2,2,512,640,20,2026-07-20
gemma-4-26B-A4B-it,bf16,1,2,2,8192,96,20,2026-07-20
gemma-4-26B-A4B-it,bf16,1,4,4,512,1280,20,2026-07-20
gemma-4-26B-A4B-it,bf16,1,4,4,8192,192,20,2026-07-20
gemma-4-31B-it,bf16,1,1,1,512,56,20,2026-07-20
gemma-4-31B-it,bf16,1,1,1,8192,8,20,2026-07-20
gemma-4-31B-it,bf16,1,2,2,512,112,20,2026-07-20
gemma-4-31B-it,bf16,1,2,2,8192,16,20,2026-07-20
gemma-4-31B-it,bf16,1,4,4,512,224,20,2026-07-20
gemma-4-31B-it,bf16,1,4,4,8192,32,20,2026-07-20
DeepSeek-V4-Flash,bf16 fp8-cache,2,2,1,512,96,20,2026-07-20
DeepSeek-V4-Flash,bf16 fp8-cache,2,2,1,8192,24,20,2026-07-20
DeepSeek-V4-Flash,bf16 fp8-cache,2,4,2,512,192,20,2026-07-20
DeepSeek-V4-Flash,bf16 fp8-cache,2,4,2,8192,48,20,2026-07-20
Qwen3-Coder-480B-A35B-Instruct,FP8,4,4,1,512,112,20,2026-07-20
Qwen3-Coder-480B-A35B-Instruct,FP8,4,4,1,8192,16,20,2026-07-20
GLM-5.2,W4A16 int4,4,4,1,512,32,20,2026-07-20
GLM-5.2,W4A16 int4,4,4,1,8192,8,20,2026-07-20
